Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
regexp-v-flag,2021-01-28,2021-05-27,NA,2022-03-29,2023-05-16,2023-09-22,Syntactic Change
regex-match-indices,2018-07-11,2019-07-12,NA,2019-07-25,2021-06-10,2022-06-06,Syntactic Change
dynamic-import,NA,2016-10-07,NA,2016-12-01,2019-06-20,2019-06-20,Syntactic Change
hashbang-grammar,2018-03-21,2018-09-11,NA,2018-11-29,2022-07-20,2022-07-20,Syntactic Change
dot-all,2016-11-30,2017-03-22,NA,2017-03-22,2017-12-19,2018-01-19,Syntactic Change
nullish-coalescing,2017-09-28,2019-06-05,NA,2019-07-23,2020-01-21,2022-11-24,Syntactic Change
private-methods,NA,2017-07-28,NA,2018-10-26,2021-06-10,2022-01-24,Syntactic Change
optional-catch,NA,NA,NA,2017-07-28,2018-05-22,2018-05-22,Syntactic Change
import-meta,NA,2017-05-25,NA,2017-09-28,2020-05-01,2020-05-01,Syntactic Change
async-await,2014-04-09,2015-08-02,NA,2015-09-29,2015-10-08,2020-11-19,Syntactic Change
named-groups,NA,NA,NA,2017-03-22,2018-01-24,2018-01-24,Syntactic Change
globalThis,2015-11-19,2016-03-29,NA,2016-09-29,2019-10-01,2019-10-01,Syntactic Change
import-attributes,2019-12-06,2020-06-04,NA,2020-09-22,2024-12-12,2024-12-12,Syntactic Change
object-rest-spread,2014-10-29,2015-08-25,NA,2016-09-29,2018-02-13,2022-01-24,Syntactic Change
lookbehind,NA,2016-12-06,NA,2017-03-22,2018-01-24,2018-01-26,Syntactic Change
unicode-escapes,2016-07-27,2016-09-28,NA,2017-03-22,2018-01-24,2023-03-21,Syntactic Change
async-iteration,2016-02-02,2016-03-31,NA,2016-09-30,2018-01-25,2018-02-12,Syntactic Change
json-modules,2019-12-06,2020-06-04,NA,2021-02-01,2024-10-08,2023-12-12,Syntactic Change
private-fields-in-in,2020-04-01,2020-06-01,NA,2021-01-27,2021-07-15,2021-07-15,Syntactic Change
function-commas,NA,NA,NA,2015-11-16,2016-07-28,2016-07-28,Syntactic Change
await,2018-01-24,2018-05-22,NA,2019-06-06,2021-05-25,2021-05-28,Syntactic Change
logical-assignment,2018-03-25,2020-02-16,NA,2020-03-15,2020-07-21,2020-07-21,Syntactic Change
chaining,2017-03-09,2019-06-05,NA,2019-07-25,2019-12-06,2022-01-24,Syntactic Change
regexp-modifiers,2021-10-28,2021-12-16,NA,2022-10-18,2024-10-08,2024-10-08,Syntactic Change
function-to-string,2016-01-14,2016-03-16,NA,2016-03-31,2018-11-28,2018-11-28,Syntactic Change
exponentiation,NA,2015-02-23,NA,2015-07-29,2022-01-24,2022-01-24,Syntactic Change
template-literal-lift,2016-05-03,NA,NA,NA,2017-10-12,2022-01-24,Syntactic Change
numeric_separators,2017-05-27,2017-08-08,NA,2017-11-29,2020-07-23,2021-07-16,Syntactic Change
static-blocks,2018-07-10,2020-11-06,NA,2021-01-27,2021-08-31,2021-08-31,Syntactic Change
json-superset,2017-09-27,2017-11-29,NA,2018-01-25,2018-05-22,2019-02-13,Syntactic Change
